SYS_FIELD_NAME,FIELD_DESC,ML_USEFULNESS_DESC
CANCELLED,"Cancelled Flight Indicator (1=Yes)","Cancels should be flagged—enables anomaly detection (extreme outcome) and resource reallocation modeling."
CANCELLATION_CODE,"Specifies The Reason For Cancellation","Important for classifying causes of operational anomalies and for post-event optimization."
DIVERTED,"Diverted Flight Indicator (1=Yes)","Highlights abnormal flight outcomes."
CRS_ELAPSED_TIME,"CRS Elapsed Time of Flight, in Minutes","Baseline comparison for evaluating actual elapsed times, useful in forecast adjustments and anomaly detection."
ACTUAL_ELAPSED_TIME,"Elapsed Time of Flight, in Minutes","Key for computing real efficiency, detecting abnormal delays, and planning."
AIR_TIME,"Flight Time, in Minutes","Correlated with delays; can help adjust resources/crews and catch outlier flights."
DISTANCE,"Distance between airports (miles)","Distance affects likelihood of delay; critical for forecasting and resource optimization."
DISTANCE_GROUP,"Distance Intervals, every 250 Miles, for Flight Segment","Allows stratified modeling/analysis to spot variation by distance category."
CARRIER_DELAY,"Carrier Delay, in Minutes","Feature in causal analysis, anomaly detection for operational efficiency, and post-hoc optimization."
WEATHER_DELAY,"Weather Delay, in Minutes","Key for weather risk anomaly detection and resource allocation strategies."
NAS_DELAY,"National Air System Delay, in Minutes","Captures systemic operational risk points, helps target national-level optimizations."
SECURITY_DELAY,"Security Delay, in Minutes","Used for anomaly detection due to security; can help optimize security staffing."
LATE_AIRCRAFT_DELAY,"Late Aircraft Delay, in Minutes","Crucial for propagating delay risk in time-series models and staff optimization."
